[0409/085631.262:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0409/090842.862:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090847.933:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090852.958:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090857.981:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090902.992:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090908.003:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090913.019:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090918.039:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090923.061:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090928.076:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090933.091:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090938.107:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090943.113:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090948.131:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090953.150:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/090958.175:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/091003.193:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/091008.208:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/091013.227:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/091018.239:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/091023.264:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/091028.285:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/091033.299:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0409/091038.314:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
